Year,SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
2010,40,3,6,1,Alabama,2,58,31591,,,,
2010,40,3,6,1,Alabama,2,59,30725,,,,
2010,40,3,6,1,Alabama,2,60,30427,,,,
2010,40,3,6,1,Alabama,2,61,30263,,,,
2010,40,3,6,1,Alabama,2,62,30141,,,,
2010,40,3,6,1,Alabama,2,63,31379,,,,
2010,40,3,6,1,Alabama,2,64,23539,,,,
2010,40,3,6,1,Alabama,2,65,23638,,,,
2010,40,3,6,1,Alabama,2,66,23369,,,,
2010,40,3,6,1,Alabama,2,67,24326,,,,
2010,40,3,6,1,Alabama,2,68,21199,,,,
2010,40,3,6,1,Alabama,2,69,19734,,,,
