STATE,Year,Population ,NAME,AGE,,,set_id,year,pieces,t1,descr
2,2010,975,Alaska,76,,,,,,,
2,2010,951,Alaska,77,,,,,,,
2,2010,887,Alaska,78,,,,,,,
2,2010,844,Alaska,79,,,,,,,
2,2010,826,Alaska,80,,,,,,,
2,2010,721,Alaska,81,,,,,,,
2,2010,679,Alaska,82,,,,,,,
2,2010,619,Alaska,83,,,,,,,
2,2010,549,Alaska,84,,,,,,,
2,2010,3086,Alaska,85,,,,,,,
2,2010,339093,Alaska,999,,,,,,,
4,2010,87979,Arizona,0,,,,,,,
4,2010,88803,Arizona,1,,,,,,,
4,2010,92748,Arizona,2,,,,,,,
4,2010,93571,Arizona,3,,,,,,,
4,2010,91913,Arizona,4,,,,,,,
4,2010,91152,Arizona,5,,,,,,,
4,2010,90960,Arizona,6,,,,,,,
4,2010,90504,Arizona,7,,,,,,,
4,2010,89151,Arizona,8,,,,,,,
4,2010,91527,Arizona,9,,,,,,,
4,2010,92364,Arizona,10,,,,,,,
4,2010,89925,Arizona,11,,,,,,,
4,2010,89324,Arizona,12,,,,,,,
4,2010,89182,Arizona,13,,,,,,,
4,2010,88705,Arizona,14,,,,,,,
4,2010,89470,Arizona,15,,,,,,,
4,2010,90408,Arizona,16,,,,,,,
4,2010,90903,Arizona,17,,,,,,,
4,2010,93640,Arizona,18,,,,,,,
4,2010,94291,Arizona,19,,,,,,,
4,2010,93881,Arizona,20,,,,,,,
4,2010,89181,Arizona,21,,,,,,,
4,2010,86175,Arizona,22,,,,,,,
4,2010,85160,Arizona,23,,,,,,,
4,2010,85660,Arizona,24,,,,,,,
4,2010,87241,Arizona,25,,,,,,,
4,2010,84912,Arizona,26,,,,,,,
4,2010,87130,Arizona,27,,,,,,,
4,2010,87643,Arizona,28,,,,,,,
4,2010,87554,Arizona,29,,,,,,,
4,2010,89724,Arizona,30,,,,,,,
4,2010,83252,Arizona,31,,,,,,,
4,2010,81679,Arizona,32,,,,,,,
4,2010,81260,Arizona,33,,,,,,,
4,2010,79416,Arizona,34,,,,,,,
4,2010,83013,Arizona,35,,,,,,,
4,2010,79867,Arizona,36,,,,,,,
4,2010,79477,Arizona,37,,,,,,,
4,2010,82626,Arizona,38,,,,,,,
4,2010,86773,Arizona,39,,,,,,,
4,2010,87808,Arizona,40,,,,,,,
4,2010,82167,Arizona,41,,,,,,,
4,2010,80068,Arizona,42,,,,,,,
4,2010,78117,Arizona,43,,,,,,,
4,2010,78905,Arizona,44,,,,,,,
4,2010,83934,Arizona,45,,,,,,,
4,2010,85065,Arizona,46,,,,,,,
4,2010,85190,Arizona,47,,,,,,,
4,2010,85405,Arizona,48,,,,,,,
4,2010,86038,Arizona,49,,,,,,,
4,2010,87372,Arizona,50,,,,,,,
4,2010,84027,Arizona,51,,,,,,,
4,2010,83668,Arizona,52,,,,,,,
4,2010,82615,Arizona,53,,,,,,,
4,2010,79614,Arizona,54,,,,,,,
4,2010,79466,Arizona,55,,,,,,,
4,2010,77468,Arizona,56,,,,,,,
4,2010,75225,Arizona,57,,,,,,,
4,2010,73070,Arizona,58,,,,,,,
4,2010,72451,Arizona,59,,,,,,,
4,2010,72559,Arizona,60,,,,,,,
4,2010,71913,Arizona,61,,,,,,,
4,2010,73219,Arizona,62,,,,,,,
4,2010,78095,Arizona,63,,,,,,,
4,2010,58658,Arizona,64,,,,,,,
4,2010,59371,Arizona,65,,,,,,,
4,2010,59209,Arizona,66,,,,,,,
4,2010,61573,Arizona,67,,,,,,,
4,2010,54547,Arizona,68,,,,,,,
4,2010,50405,Arizona,69,,,,,,,
4,2010,48370,Arizona,70,,,,,,,
4,2010,45596,Arizona,71,,,,,,,
4,2010,43978,Arizona,72,,,,,,,
4,2010,40624,Arizona,73,,,,,,,
4,2010,38678,Arizona,74,,,,,,,
4,2010,37022,Arizona,75,,,,,,,
4,2010,33179,Arizona,76,,,,,,,
4,2010,32358,Arizona,77,,,,,,,
4,2010,30856,Arizona,78,,,,,,,
4,2010,29689,Arizona,79,,,,,,,
4,2010,28656,Arizona,80,,,,,,,
4,2010,25614,Arizona,81,,,,,,,
4,2010,23810,Arizona,82,,,,,,,
4,2010,21714,Arizona,83,,,,,,,
4,2010,19728,Arizona,84,,,,,,,
4,2010,104841,Arizona,85,,,,,,,
4,2010,6390079,Arizona,999,,,,,,,
4,2010,44915,Arizona,0,,,,,,,
4,2010,45358,Arizona,1,,,,,,,
4,2010,47211,Arizona,2,,,,,,,
4,2010,47696,Arizona,3,,,,,,,
4,2010,46985,Arizona,4,,,,,,,
4,2010,46527,Arizona,5,,,,,,,
4,2010,46424,Arizona,6,,,,,,,
4,2010,46137,Arizona,7,,,,,,,
